main_artist
Needtobreathe
The Pretenders
Beirut
Kansas
George Clinton And Parliament Funkadelic
Clint Black
Rodrigo y Gabriela
Brothers Osborne
Nick Offerman
Ronan Keating
G3
Michael Franti
"""So You Think You Can Dance"""
Sylvan Esso
Yes
AJR
Rodney Carrington
America
Umphrey's McGee
Angela Aguilar
James Blake
Simple Minds
Dream Theater
Pat Metheny
Dashboard Confessional
The Kooks
Amos Lee
Simply the Best - A Tribute to Tina Turner
Garbage
Daniel O'Donnell
Todd Rundgren's Utopia
"""The Happy Together Tour"" / Turtles"
Daughtry
Marina
The Head And The Heart
Alison Moyet
Ryan Adams
Run The Jewels
Stephen Stills / Judy Collins
Young The Giant
Dirty Heads
Fisher
The Flaming Lips
Alan Parsons Live Project
Griz
Schiller
Gavin DeGraw / Andy Grammer
Catfish And The Bottlemen
Angus & Julia Stone
Chris Lake
"""The Happy Together Tour"" / The Turtles"
Scott Bradlee's Postmodern Jukebox / Straight No Chaser
"""Dave Koz & Friends: A Smooth Jazz Christmas"" / Dave Koz"
Michael Franti & Spearhead
Iyanla Vanzant
"""Peppa Pig Live"""
Peter Kraus
Chris D'Elia
"""Dave Koz & Friends: A Smooth Jazz Christmas"""
Jungle
Rainhard Fendrich
"""PJ Masks Live"""
St. Vincent
Celtic Thunder
Two Door Cinema Club
Anastacia
"""G3"""
Bronco
The Monkees
"""Winter Jam"" / Matthew West"
Killer Queen Feat. Patrick Myers
Kerstin Ott
Billy Ocean
"""Winter Jam"" / Lecrae"
311
Lyle Lovett / John Hiatt
"""Air 1 Positive Hits Tour"" / Skillet"
3 Doors Down
"""Air 1 Positive Hits Tour"""
Bill Engvall
Brit Floyd
John Mulaney
Ingrid Michaelson
"Elvis Lives: ""The Ultimate Elvis Tribute Artist Event"""
Kenny G
#IMomSoHard
TajMo' : Taj Mahal & Keb' Mo'
Indigo Girls
Travis Wall's Shaping Sound
Tesla
Sleater-Kinney
Greensky Bluegrass
"""Unashamed Forever Tour"" / Lacrae"
Trombone Shorty & Orleans Avenue / St. Paul And The Broken Bones
Trombone Shorty & Orleans Avenue
Lyle Lovett / Robert Earl Keen
Mac Miller
Pink Martini
Cody Johnson
Hanson
"""American Idol Live"""
"""Die Größten MUSICAL HITS Aller Zeiten"" / Alexander Klaws"
Roy Orbison: In Dreams (Hologram Tour)
"""The Happy Together Tour"""
Kip Moore
Snarky Puppy
Paul Panzer
Trailer Park Boys
Lifehouse / Switchfoot
Trampled By Turtles
Aaron Lewis
2 Chainz
David Sedaris
"""Unashamed Forever Tour"" / Lecrae"
Lauv
"""Brain Candy Live!"""
Elevation Worship
John McLaughlin / Jimmy Herring
Tim And Eric
Seven
Apocalyptica
Mastodon / Scott Kelly
Lea Salonga
"""The Happy Together Tour"" / The Turtles feat. Flo & Eddie"
Iliza Shlesinger
Steve Hackett
Dispatch
Madeon
Social Distortion
Opeth
Lake Street Dive
Tom Odell
Kris Kristofferson
Nate Bargatze
Chris Isaak
Niedeckens Bap
Mary Chapin Carpenter
The Oak Ridge Boys
"""Daze Of The Dead"""
Paul Carrack
Killer Queen Feat. Patrick Myers (UK)
Thievery Corporation
"""Retro Futura Tour"" / Howard Jones"
The Try Guys
John Crist
Scott Bradlee's Postmodern Jukebox
Metronomy
Grace Potter
Michael Carbonaro
"""A Bowie Celebration"""
Phantogram
Adam Ant
Jesse & Joy
Tegan And Sara
Zeds Dead
Newsboys
Buddy Guy
Gryffin
Passenger
Blue Oyster Cult
Rae Sremmurd
Walk Off The Earth
Foals
Old Crow Medicine Show
Turnpike Troubadours
Stone Temple Pilots / Rival Sons
NF
Punch Brothers
Kevin & Karen
Milky Chance
Morgan Evans
Brian Regan
Red Green
"""Big Church Night Out"" / Newsboys"
The Ten Tenors
Melissa Etheridge
Lena
Miranda Sings
"""The Bizarre World of Frank Zappa"" (Hologram)"
Birdy
"""One Night Of Queen"" Perf. By Gary Mullen"
Markus Krebs
Bruce Hornsby
As The Crow Flies
Motion City Soundtrack
The Specials
Above & Beyond
Dark Star Orchestra
Get The Led Out
St. Paul And The Broken Bones
Clouseau
Rocktopia
Courtney Barnett
Ben Folds
Fantasy
Sinatra And Friends Holographic Concert
"""Celebrating David Bowie"""
"""SoSoSummer Tour"""
Lotus
The Mavericks
Art Garfunkel
Angelo Kelly
AFI / Circa Survive
"""SoSoSummer Tour"" / Miss Mulatto"
Home Free
"""Whose Live Anyway?"""
LeAnn Rimes
Local Natives
Chris Janson
LANY
Foals / Yak
Bianca Del Rio
Louis The Child
Billy Strings
Marti Pellow
Drew & Ellie Holcomb
City and Colour
Gov't Mule
Gordon Lightfoot
Shakey Graves
Black Veil Brides / Asking Alexandria
Stick Figure
Grinspoon
Switchfoot / Relient K
The Waterboys
Quinn XCII
Jon Bellion
Highly Suspect
Get The Led Out - American Led Zeppelin
Jimmy Eat World
Chromeo
Eels
Gaither Vocal Band
Shoreline Mafia
"""The Voice Of Germany"""
Ian Moss
Ben Rector
"""Roy Orbison & Buddy Holly- The Rock 'N' Roll Dream Tour"""
Jenny Lewis
Circa Survive
Don Broco
William Singe / Alex Aiono
Michel'le
Guano Apes
The Zombies feat. Colin Blunstone & Rod Argent
Raphael Saadiq
Flatbush Zombies
Taking Back Sunday
Yellowcard
Colin James
Hollywood Undead
You Me At Six
Joe Jackson
Cold War Kids
Archive
Skillet
Robert Earl Keen
Danny Gokey / Natalie Grant
Mike + The Mechanics
AFI
Rumours Of Fleetwood Mac
Caamp
Anthrax / Killswitch Engage
Robin Trower
Whiskey Myers
Annett Louisan
Almost Queen - Trib. To Queen
Matt and Kim
Arlo Guthrie
The Psychedelic Furs
Anthrax
"""Live Original Tour"""
"""Shopkins Live!"""
DMX
PC*Danny Gokey / Mandisa (26 co-bills)
The Pretty Reckless
The Fab Four - The Ultimate Tribute
Danny Gokey / Mandisa
Dr. Hook Starring Dennis Locorriere
Dixie Dregs
Keb' Mo'
Datsik
Falling In Reverse / Issues / Motionless In White
Johnnyswim
Dawes
Nick Swardson
Lil Tjay
Rick Astley
Polo & Pan
Flying Lotus
Tory Lanez
FKJ
Adam Trent
Tech N9ne
Black Violin
The Rasmus
Hairball
Cuco
Rickie Lee Jones / Madeleine Peyroux
Ryan Bingham
The Wood Brothers
De Kreuners
Paula Poundstone
Under The Streetlamp
Pierce The Veil
Kari Jobe
Mat Kearney
The Allman Betts Band
"""Reach Out! The Magic of Motown"""
MØ / Cashmere Cat
Monster Magnet
Unknown Mortal Orchestra
Rickie Lee Jones
Jim Brickman
The Struts
Oh Wonder
Hot Tuna
Mother Mother
Chonda Pierce
Perfectos Desconocidos
Andrew McMahon in the Wilderness
The Octonauts
Judah & The Lion
Epica / Powerwolf
Joey Bada$$
Gogol Bordello
Luc Langevin
Al Stewart
Dr. Dog
Koe Wetzel
Danny Gokey
Lettuce / Galactic
The Naked And Famous
Aaron Watson
Cigarettes After Sex
Natalia
Marian Hill
Dan + Shay
Jim James
Matthew Good
Dance Gavin Dance
Tommy Emmanuel
One Night Of Tina
Lettuce
Switchfoot
Wynonna & The Big Noise
Tommy Emmanuel / David Grisman
Thomas Anders
Big Head Todd & The Monsters
Atmosphere
Bradley Wiggins
"""Georgia On My Mind: Celebrating The Music Of Ray Charles"""
Steve Vai
Rick Wakeman
Tchami
Big Gigantic
X Ambassadors
Trixie Mattel
"""K-Love Christmas Tour"" / Matthew West"
The Tea Party
Liz Phair
Toots & The Maytals
Xavier Rudd
Drive-By Truckers
Motionless In White
Josh Ritter
Hillsong Young & Free
